Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
1277;016;Platanus;hispanica;  -;Ahornblättrige-Platane;8;4;45;L;71128;346979;14.2904459842194;48.2571135871781
1277;017;Acer;pseudoplatanus; -;Berg-Ahorn;12;10;130;L;71119;346971;14.2903234570467;48.2570426578490
1277;018;Pinus;wallichiana; -;Tränen-Kiefer;5;3;41;N;71109;346963;14.2901874648648;48.2569718401163
1126;067a;Picea;omorika; -;Serbische Fichte;2;1;10;N;71301;347088;14.2927939540927;48.2580722338871
392;006;Quercus;robur;Fastigiata;Säulen-Eiche;3;1;8;L;71186;346814;14.2912043067225;48.2556232983459
392;008;Liriodendron;tulipifera; -;Tulpenbaum;6;3;44;L;71241;346849;14.2919457812037;48.2559320032546
1282;018;Betula;pendula; -;Weiß-Birke;10;6;30;L;70078;346323;14.2762019824628;48.2513271615934
1282;020;Betula;sp.; -;Birke;8;3;60;L;70077;346325;14.2761926522246;48.2513534501453
986;999FL;Acer;campestre; -;Feld-Ahorn;10;0;0;L;70442;352429;14.2821140912144;48.3061963282897
1421;999FL;Fagus;sylvatica; -;Rotbuche;20;0;0;L;69175;352094;14.2649830783519;48.3033209097616
7135;903;Alnus;glutinosa; -;Schwarz-Erle;8;3;57;L;70065;354649;14.2773995293357;48.3262007451187
1516;977;Salix;alba; -;Silber-Weide;20;6;124;L;70069;352504;14.2771032493757;48.3069100099113
1516;978;Salix;alba; -;Silber-Weide;20;6;91;L;70069;352503;14.2770915061617;48.3069017779195
559;087;Quercus;rubra; -;Amerikanische Rot-Eiche;20;15;248;L;71353;353863;14.2946287917346;48.3189904875062
6306;052;Platanus;hispanica;  -;Ahornblättrige-Platane;11;6;72;L;72772;355069;14.3139764898093;48.3296749651558
1326;073;Populus;tremula; -;Zitterpappel / Espe;12;5;70;L;73258;348929;14.3194633827300;48.2744059673755
882;004;Acer;negundo; -;Eschen-Ahorn;13;9;164;L;70625;348285;14.2838953447786;48.2689166893648
882;014;Acer;pseudoplatanus; -;Berg-Ahorn;14;7;129;L;70596;348334;14.2835050500027;48.2693586791528
882;021;Juglans;regia; -;Walnuss;10;5;68;L;70577;348363;14.2832543666276;48.2696191373586
5521;070;Acer;sp.; -;Ahorn;10;6;67;L;76146;347015;14.3580208911688;48.2568537373419
5521;071;Acer;sp.; -;Ahorn;8;5;60;L;76151;347019;14.3580892199561;48.2568924059438
5521;089;Acer;sp.; -;Ahorn;8;4;66;L;76401;347111;14.3614672622425;48.2576904786112
196;014;Fagus;sylvatica; -;Rotbuche;15;7;120;L;72667;349126;14.3115332223350;48.2762460729902
816;168;Aesculus;sp.; -;Kastanie;7;4;69;L;76427;347410;14.3618703532216;48.2603765325296
140;150;Liriodendron;tulipifera; -;Tulpenbaum;10;3;47;L;71951;349140;14.3018932082828;48.2764563206738
140;124;Liriodendron;tulipifera; -;Tulpenbaum;10;4;82;L;71759;348999;14.2992838719469;48.2752062911352
140;125;Liriodendron;tulipifera; -;Tulpenbaum;15;6;86;L;71762;349004;14.2993197615842;48.2752487810630
140;064;Liriodendron;tulipifera; -;Tulpenbaum;8;3;33;L;71665;348748;14.2979811694833;48.2729640996701
140;063;Liriodendron;tulipifera; -;Tulpenbaum;9;3;43;L;71672;348757;14.2980647527316;48.2730386417046
5089;034;Acer;platanoides; -;Spitz-Ahorn;13;10;400;L;72218;349360;14.3055241779630;48.2783977229954
965;035;Acer;sp.; -;Ahorn;8;7;110;L;77829;344440;14.3802063018526;48.2334986909544
965;043;Acer;sp.; -;Ahorn;9;6;110;L;77616;344510;14.3773612229324;48.2341535034540
1407;043;Acer;saccharinum;Laciniatum Wieri;Geschlitzter Silber-Ahorn;8;4;60;L;71437;348474;14.2948536061717;48.2705191492499
1407;078;Acer;platanoides;Drummondii;Weißbunter Spitz-Ahorn;7;4;49;L;71419;348469;14.2946163480518;48.2704810308042
1407;079;Acer;platanoides;Drummondii;Weißbunter Spitz-Ahorn;7;4;46;L;71422;348467;14.2946536993979;48.2704577052561
1407;077;Acer;platanoides; -;Spitz-Ahorn;8;5;80;L;71412;348463;14.2945198402554;48.2704251848877
1407;080;Tilia;cordata; -;Winter-Linde;5;4;40;L;71417;348457;14.2945811289640;48.2703702366190
1407;081;Carpinus;betulus; -;Hainbuche;3;3;23;L;71423;348461;14.2946679772514;48.2704045217632
1407;084;Fagus;sylvatica; -;Rotbuche;20;14;410;L;71427;348457;14.2947164467836;48.2703744195916
1407;086;Tilia;cordata; -;Winter-Linde;6;4;42;L;71426;348463;14.2947085971883;48.2704218007124
1407;308;Fraxinus;excelsior; -;Gemeine Esche;8;4;45;L;71591;348181;14.2968893825195;48.2678725196598
824;277;Robinia;sp.; -;Robinie;8;8;72;L;76343;347397;14.3607476389315;48.2602702640194
824;278;Robinia;sp.; -;Robinie;8;9;53;L;76352;347397;14.3608581614105;48.2602637575032
824;279;Robinia;sp.; -;Robinie;9;5;36;L;76360;347395;14.3609676322113;48.2602511592794
